,,,,,,,GOPHER,NON ANN GRASS,BARE,ROCK,LITTER,COWPIE,MOSS,ACH MIL,ACH MOL,ACM WRA,AEG TRI,AGO HET,ALL SER,AMS INT,ANC FIL,APH OCC,ART CAL,ASTE SP,AST GAM,ATH PUS,AVEN SP,BRO BER,BRO CAR,BRO DIA,BRO HOR,BRO MAD,BRO TRI,BRO TER,BROD SPP,CAL ARG,CAL VEN,CALO SP,CAL CIL,CAL MUL,CAL SUB,CALY SP,CAM GRA,CAR PYC,CAS ATT,CAS DEN,CAS ERI,CAS EXS EXS,CAS PUR,CAS RUB LIT,CAU LAS,CEN SOL,CEN SOL BROAD,CHAE SP,CHL POM,CLAR SP,CLA EXI EXI,CLA GYP,CLA PER,CLAR SP,COL HET,CRA CON,CRO SET,CRY FLA,CUS SUB,DODD SPP,DAU PUS,DEL VAR,DELP SP,DES DAN,DIC CAP,DUD SET,ELY GLA,ELY MUL,EPI MIN,EPIL SP,ERI CON,ERI GLA,ERI NUD,ERI ROS,ERI VIM,ERI RED ANG,ERO BOT,ERO CIC,ERO MOS,EROD SP,ERY CAP,ESC CAL,EUP SPA,FES BRO,FES MIC,FES MYU,FES PER,FIL GAL,FRA CAL,GAL APA,GAL POR,GALI SP,GAS PHL,GIL ACH,GIL CLI,GIL TRI,HEM CON,HEM CON LUZ,HES SPA,HOR BRA,HOR MAR,HOR MUR LEP,KOE MAC,LACT SP,LAM AUR,LAS CAL,LAY GAI,LAY PLA,LES NEM,LEP AMB,LEP AND,LEP BIC,LEP GRA,LEP LIN,LEP NIT,LEP PAR,LEPT SP,LES MIC GLA,LEW RED,LIN DIC,LOM CAR,LOM DAS,LOM MAC,LOM UTR,LOMA SP,LUP BIC,LUPI SP,MADI SP,MEL CAL,MEL TOR,MELI SP,MIC CAL,MIC DOU,MIM DOU,MIN DOU,MIN PUS,MON MAJ,MUI MAR,NAV HET,PEL AND,PEN BEL,PEN TRI,PER KEL,PHA CAL,PHA DIS,PHA IMB,PHL GRA,PLA CAL,PLA ERE,POA SEC SEC,POA SP,POLY SP,PRI HEN,PSI BRE,PTE DRY,QUE DUR,RAN CAL,RIG LEP,SAL COL,SAN BIP,SAN TUB,SENE SP,SHE ARV,SID DIP,SIL CAL,SIL GAL,SIS BEL,STE MED,STE NIT,STI PUL,STR ALB,STYL SP,TALL EVAX,TET GRA,TOX FRE,TRI ALB,TRI DEP,TRI ERI,TRI PUS,TRI GRA,TRI HIR,TRI INFLATED,TRI MIC,TRI WIL,TRIF SP,TRI LAN,TRI LAX,URO LIN,UNK ANN GRASS,UNK BUN,UNKNOW,,,,
Original Order,Year,Transect1,Quadrat_Old,Quadrat_New,Transect2,Quadrat2,Gopher +/-,Nonnative Annual Grass,Bare ,Rock,Litter,Cowpie,Moss,Achillea millefolium,Achyrachanea mollis,Acmispon wrangelianus,Aegilops triuncialis,Agoseris heterophylla,Allium serra,Amsinckia intermedia,Ancistrocarphus filagineus,Aphanes occidentalis,Artemesia californica,Asteraceae sp.,Astragalus gambellianus,Athysanus pusilus,Avena sp.,Bromus berteroanus,Bromus carinatus,Bromus diandrus,Bromus hordeaceus,Bromus madritensis,Bromus trinii,Brodiaea terrestris,Brodiaea spp.,Calochortus argillosus,Calochortus venustus,Calochortus sp.,Calandrinia ciliata,Calycadenia multiglandulosa,Calystegia subacaulis,Calycadenia sp.,Camissonia graciliflora,Carduus pycnocephalus,Castilleja attenuata,Castilleja densiflora,Castilleja erianthus,Castilleja exserta ssp. exserta,Castilleja purpurescens,Castilleja rubicundula ssp lithospermoides,Caulanthus lasiophylla,Centaurea solstitialis,Centaurea solstitialis (Broad rosette),Chaenactis sp.,Chlorogalum pomeridianum,Clarkia sp.,Claytonia exigua ssp. exigua,Claytonia gypsophiloides,Claytonia perfoliata,Clarkia sp.,Collinsia heterophylla,Crassula connata,Croton setigerus,Cryptantha flaccida,Cuscuta subinclusa,Dodder Spp,Daucus pusillus,Delphinium variegatum,Delphinium sp.,Deschampsia danthoniodes,Dichelostemma capitatum,Dudleya setchellii,Elymus glaucus,Elymus multisetus,Epilobium minitum,Epilobium sp.,Eriophyllum confertiflorum,Eriogonum glaucus,Eriogonum nudum,Eriogonum roseum,Eriogonum vimineum,Erigeron reductus angustatus,Erodium botrys,Erodium cicutarium,Erodium moschatum,Erodium sp.,Erysimum capitatum,Eschscholzia californica,Euphorbia spathulata,Festuca bromoides,Festuca microstachys,Festuca myuros,Festuca perennis,Filago gallica,Frangula californica,Galium aparine,Galium porrigens,Galium sp.,Gastridium phleoides,Gilia achillaeafolia,Gilia clivorum,Gilia tricolor,Hemizonia congesta,Hemizonia congesta ssp. Luzulifolia,Hesperevax sparsiflora,Hordeum brachyantherum,Hordeum marinum,Hordeum murinum ssp. leporinum,Koeleria macrantha,Lactuca sp.,Lamarckia aurea,Lasthenia californica,Layia gaillardiodes,Layia platyglossa,Lessingia nemaclada,Leptosiphon ambiguus,Leptosiphon androsaceus,Leptosiphon bicolor,Leptosiphon grandiflorus,Leptosiphon liniflorus,Lepidium nitidum,Leptosiphon parviflorus,Leptosiphon sp.,Lessingia micradenia glabrata,Lewisia rediviva,Linanthus dichotomous,Lomatium caruifolium,Lomatium dasycarpum,Lomatium macrocarpum,Lomatium utriculatum,Lomatium sp.,Lupinus bicolor,Lupinus sp.,Madia sp.,Melica californica,Melica torreyana,Melica sp.,Micropus californicus,Microseris douglasii,Mimulus douglasii,Minuartia douglasii,Minuartia pusilla,Monolopia major,Muilla maritima,Navarretia heterodoxa ,Pellaea andromedifolia,Pentachaeta bellidiflora,Pentagramma triangularis,Perideridia kelloggii,Phacelia californica,Phacelia distans ,Phacelia imbricata,Phlox gracilis,Platystemon californicus,Plantago erecta,Poa secunda ssp. secunda,Poa sp.,Polypodium sp.,Primula hendersonii,Psilocarphus brevissimus,Pterostegia drymariodes,Quercus durata,Ranunculus californica,Rigiopappus leptoclodus,Salvia columbariae,Sanicula bipinnatifida,Sanicula tuberosa,Senecio sp.,Sherardia arvensis,Sidalcea diplosypha,Silene californica,Silene gallica,Sisyrinchium bellum,Stellaria media,Stellaria nitens,Stipa pulchra,Streptanthus albidus,Stylocline sp.,Tall Evax,Tetrapteron graciliflora,Toxicoscordion fremontii,Trifolium albopurpureum,Trifolium depauperatum,Triphysaria eriantha,Triphysaria pusilla,Trifolium gracilentum,Trifolium hirtum,Trifolium inflated,Trifolium microdon,Trifolium willdenovii,Trifolium sp.,Trichostemma lanceolatum,Triteleia laxa,Uropappus lindleyi,Unknown Annual Grass,Unknown Bunch Grass,Unknown,,,,
3,1991,KCFlat,KCFlat-1,KCFlat-1,KCFlat,1,,,20,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,30,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,5,0,,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,5,0,0,0,0,0,0,0,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,,0,,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,,,,
7,1991,KCFlat,KCFlat-2,KCFlat-2,KCFlat,2,,,20,0,,0,0,0,0,0,0,0,0,0,,0,0,0,2,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,10,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,2,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,10,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,,0,,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,,,,
9,1991,KCFlat,KCFlat-3,KCFlat-3,KCFlat,3,,,20,0,,0,0,0,0,0,0,0,0,0,,0,0,0,2,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,10,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,25,0,0,0,0,0,0,0,2,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2,0,0,0,0,0,0,0,,0,0,0,0,0,,0,,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,,,,
1,1991,KCFlat,KCFlat-4,KCFlat-4,KCFlat,4,,,20,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,,,0,0,0,0,0,0,0,0,0,30,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,5,0,0,0,0,0,0,0,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,,0,,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,,,,
4,1991,KCFlat,KCFlat-5,KCFlat-5,KCFlat,5,,,50,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,5,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,5,0,0,0,0,0,0,0,,0,0,0,10,0,,0,,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,10,0,,0,,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,,,,
5,1991,KCFlat,KCFlat-6,KCFlat-6,KCFlat,6,,,30,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,5,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,10,0,0,5,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,5,0,0,0,0,0,0,0,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,,0,,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,,,,
6,1991,KCFlat,KCFlat-7,KCFlat-7,KCFlat,7,,,30,0,,0,0,0,0,0,0,0,0,0,,0,0,0,2,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,10,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,0,10,0,0,0,0,0,0,0,,0,0,0,0,0,,0,,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,,,,
2,1991,KCFlat,KCFlat-8,KCFlat-8,KCFlat,8,,,60,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,2,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,10,0,,0,,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,,,,
8,1991,KCFlat,KCFlat-9,KCFlat-9,KCFlat,9,,,30,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,,0,0,0,0,0,0,0,0,0,5,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,2,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2,0,0,0,0,0,0,0,,0,0,0,5,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,,,,
